tc_id	model	rate	t_fall	t_rise	v_final	v_inter	GeneName	exp_id	TF
51	sigmoid	0.30600154399871826	NA	51.1370964050293	NA	1.1040951013565063	BIO3	1	ACA1
52	sigmoid	0.3146180510520935	NA	56.14790725708008	NA	0.911831259727478	BIO4	1	ACA1
53	sigmoid	0.3192732632160187	NA	55.91333770751953	NA	0.8492121696472168	BIO5	1	ACA1
54	sigmoid	0.14167805016040802	NA	45.18217086791992	NA	-0.8543868064880371	BNI5	1	ACA1
55	sigmoid	0.420528382062912	NA	20.423419952392578	NA	-0.3887886106967926	BNS1	1	ACA1
56	sigmoid	0.2668284475803375	NA	42.820560455322266	NA	-0.7397920489311218	BUB1	1	ACA1
57	sigmoid	0.2834447920322418	NA	51.464847564697266	NA	-0.6235307455062866	BUB3	1	ACA1
58	sigmoid	0.1328546106815338	NA	32.98030471801758	NA	-0.5021354556083679	BUD2	1	ACA1
59	sigmoid	0.24634991586208344	NA	43.04352569580078	NA	-0.5738348364830017	CAF130	1	ACA1
60	sigmoid	0.2984948754310608	NA	54.098602294921875	NA	0.770986020565033	CAT2	1	ACA1
61	sigmoid	0.21769101917743683	NA	49.291587829589844	NA	-0.939926266670227	CBF2	1	ACA1
62	sigmoid	0.11955642700195312	NA	42.508365631103516	NA	0.6951591968536377	CBP4	1	ACA1
63	sigmoid	0.10009150952100754	NA	38.24226760864258	NA	-0.6811213493347168	CCP1	1	ACA1
64	sigmoid	0.289800763130188	NA	38.821598052978516	NA	-0.641096293926239	CCS1	1	ACA1
65	sigmoid	0.13435785472393036	NA	48.142635345458984	NA	-1.2030339241027832	CDC21	1	ACA1
66	sigmoid	0.18166197836399078	NA	29.336214065551758	NA	-0.4737749397754669	CDC25	1	ACA1
67	sigmoid	0.172073632478714	NA	32.474090576171875	NA	-0.4525948166847229	CDC28	1	ACA1
68	sigmoid	0.11633037775754929	NA	42.80429458618164	NA	-1.362916111946106	CDC45	1	ACA1
69	sigmoid	0.16612036526203156	NA	38.0172233581543	NA	-0.7596151232719421	CDC9	1	ACA1
70	sigmoid	0.10411263257265091	NA	40.61784362792969	NA	-1.056792140007019	CHA1	1	ACA1
